file,atom,Count
linux/drivers/target/iscsi/iscsi_target.c,operator-precedence,357
linux/drivers/infiniband/hw/cxgb4/cm.c,operator-precedence,357
linux/drivers/scsi/lpfc/lpfc_init.c,omitted-curly-braces,354
linux/drivers/scsi/lpfc/lpfc_els.c,operator-precedence,353
linux/drivers/net/wireless/ti/wlcore/main.c,operator-precedence,353
linux/drivers/scsi/qla2xxx/qla_init.c,omitted-curly-braces,347
linux/drivers/gpu/drm/radeon/cik.c,omitted-curly-braces,346
linux/drivers/md/raid5-cache.c,operator-precedence,345
linux/drivers/net/ethernet/mellanox/mlx4/fw.c,implicit-predicate,344
linux/drivers/net/ethernet/intel/e1000e/ich8lan.c,omitted-curly-braces,343
linux/drivers/scsi/lpfc/lpfc_hbadisc.c,operator-precedence,341
linux/drivers/infiniband/core/cma.c,operator-precedence,340
linux/drivers/net/wireless/ti/wlcore/main.c,omitted-curly-braces,339
linux/drivers/net/ethernet/brocade/bna/bnad.c,operator-precedence,338
linux/drivers/ata/libata-core.c,omitted-curly-braces,336
linux/drivers/net/ethernet/broadcom/tg3.c,operator-precedence,335
linux/drivers/gpu/drm/radeon/ci_dpm.c,omitted-curly-braces,335
linux/drivers/net/ethernet/broadcom/bnxt/bnxt.c,operator-precedence,333
linux/drivers/net/wireless/intel/ipw2x00/ipw2200.c,omitted-curly-braces,332
linux/drivers/net/wireless/cisco/airo.c,omitted-curly-braces,332
linux/drivers/net/wireless/broadcom/brcm80211/brcmsmac/main.c,omitted-curly-braces,332
linux/drivers/net/ethernet/mellanox/mlxsw/spectrum_router.c,omitted-curly-braces,331
linux/drivers/gpu/drm/radeon/si_dpm.c,omitted-curly-braces,331
linux/drivers/isdn/hardware/eicon/message.c,comma-operator,329
linux/drivers/scsi/mpt3sas/mpt3sas_scsih.c,operator-precedence,328
linux/drivers/block/rbd.c,operator-precedence,327
linux/drivers/clk/sunxi-ng/ccu-sun8i-r40.c,operator-precedence,326
linux/drivers/net/ethernet/intel/igb/igb_main.c,operator-precedence,324
linux/drivers/net/ethernet/emulex/benet/be_cmds.c,operator-precedence,324
linux/drivers/staging/lustre/lustre/ptlrpc/pack_generic.c,operator-precedence,323
linux/drivers/block/drbd/drbd_receiver.c,operator-precedence,322
linux/drivers/usb/host/u132-hcd.c,operator-precedence,322
linux/drivers/scsi/ufs/ufshcd.c,omitted-curly-braces,321
linux/drivers/net/ethernet/intel/e1000e/netdev.c,omitted-curly-braces,320
linux/drivers/staging/vt6655/rf.c,literal-encoding,319
emacs/src/font.c,omitted-curly-braces,319
linux/drivers/tty/synclink.c,omitted-curly-braces,318
linux/drivers/scsi/lpfc/lpfc_els.c,omitted-curly-braces,315
linux/drivers/pci/pci.c,omitted-curly-braces,314
mysql-server/sql/binlog.cc,omitted-curly-braces,312
linux/drivers/net/ethernet/brocade/bna/bna_tx_rx.c,operator-precedence,310
linux/drivers/clk/sunxi-ng/ccu-sun6i-a31.c,operator-precedence,309
linux/drivers/staging/media/atomisp/pci/atomisp2/atomisp_cmd.c,omitted-curly-braces,309
linux/drivers/net/ethernet/broadcom/cnic.c,operator-precedence,308
linux/drivers/md/bcache/btree.c,operator-precedence,306
linux/drivers/infiniband/core/mad.c,operator-precedence,306
linux/drivers/gpu/drm/i915/i915_gem.c,operator-precedence,305
linux/drivers/net/ethernet/intel/e1000e/netdev.c,operator-precedence,305
mysql-server/sql/spatial.cc,omitted-curly-braces,304
linux/drivers/net/wireless/ralink/rt2x00/rt2800lib.c,omitted-curly-braces,303
linux/drivers/scsi/ipr.c,omitted-curly-braces,303
linux/drivers/block/drbd/drbd_main.c,operator-precedence,303
linux/drivers/net/wireless/broadcom/b43/phy_n.c,omitted-curly-braces,302
mysql-server/sql/table.cc,omitted-curly-braces,302
mysql-server/testclients/mysql_client_test.c,omitted-curly-braces,300
linux/drivers/net/wireless/broadcom/b43/main.c,omitted-curly-braces,299
linux/drivers/tty/synclink_gt.c,omitted-curly-braces,299
linux/drivers/net/ethernet/marvell/mvpp2.c,omitted-curly-braces,297
linux/drivers/dma/ppc4xx/adma.c,operator-precedence,297
linux/drivers/net/wireless/broadcom/brcm80211/brcmfmac/cfg80211.c,omitted-curly-braces,294
linux/drivers/scsi/bfa/bfa_svc.c,operator-precedence,294
linux/drivers/net/ethernet/mellanox/mlx5/core/en_main.c,operator-precedence,293
linux/drivers/scsi/libiscsi.c,operator-precedence,291
linux/drivers/net/ethernet/mellanox/mlx4/resource_tracker.c,omitted-curly-braces,290
linux/drivers/scsi/lpfc/lpfc_nvmet.c,operator-precedence,288
linux/drivers/platform/x86/thinkpad_acpi.c,omitted-curly-braces,287
linux/drivers/gpu/drm/i915/i915_gem.c,omitted-curly-braces,287
mysql-server/sql/ha_ndbcluster.cc,operator-precedence,287
mysql-server/sql/ha_ndbcluster.cc,comma-operator,286
linux/drivers/net/ethernet/chelsio/cxgb4/t4_hw.c,omitted-curly-braces,286
linux/drivers/net/wireless/intel/ipw2x00/ipw2100.c,operator-precedence,285
linux/drivers/mtd/nand/nand_base.c,omitted-curly-braces,285
linux/drivers/gpu/drm/i915/intel_dp.c,omitted-curly-braces,285
linux/drivers/scsi/lpfc/lpfc_hbadisc.c,omitted-curly-braces,284
linux/drivers/net/ethernet/emulex/benet/be_main.c,operator-precedence,283
linux/drivers/staging/lustre/lustre/ptlrpc/client.c,operator-precedence,283
linux/drivers/net/wireless/intel/iwlegacy/common.c,operator-precedence,283
linux/drivers/tty/synclinkmp.c,omitted-curly-braces,283
linux/drivers/md/raid10.c,omitted-curly-braces,283
linux/drivers/isdn/mISDN/layer2.c,operator-precedence,282
linux/drivers/isdn/hisax/isdnl2.c,operator-precedence,280
linux/drivers/block/drbd/drbd_nl.c,omitted-curly-braces,280
mysql-server/sql/sql_base.cc,omitted-curly-braces,279
linux/drivers/net/wireless/marvell/mwl8k.c,omitted-curly-braces,278
linux/drivers/staging/rtl8723bs/core/rtw_mlme_ext.c,operator-precedence,277
linux/drivers/md/raid1.c,operator-precedence,277
linux/drivers/scsi/aic7xxx/aic79xx_core.c,omitted-curly-braces,275
emacs/src/coding.c,implicit-predicate,275
mysql-server/storage/myisam/mi_check.c,omitted-curly-braces,274
linux/drivers/infiniband/hw/i40iw/i40iw_cm.c,operator-precedence,273
emacs/src/w32term.c,omitted-curly-braces,273
linux/drivers/android/binder.c,operator-precedence,273
mysql-server/sql/field.cc,omitted-curly-braces,272
linux/drivers/isdn/hardware/eicon/message.c,operator-precedence,272
linux/drivers/md/dm-raid.c,operator-precedence,271
linux/drivers/infiniband/hw/qib/qib_iba7322.c,omitted-curly-braces,271
linux/drivers/scsi/lpfc/lpfc_attr.c,omitted-curly-braces,270
emacs/src/w32font.c,omitted-curly-braces,269
mysql-server/client/mysqldump.c,omitted-curly-braces,268
linux/drivers/s390/net/qeth_core_main.c,omitted-curly-braces,267
linux/drivers/block/rbd.c,omitted-curly-braces,267
linux/drivers/net/ethernet/mellanox/mlx4/fw.c,preprocessor-in-statement,266
linux/drivers/scsi/arcmsr/arcmsr_hba.c,operator-precedence,266
linux/drivers/staging/media/atomisp/pci/atomisp2/css2400/sh_css.c,omitted-curly-braces,266
linux/drivers/staging/lustre/lnet/klnds/socklnd/socklnd.c,operator-precedence,265
mysql-server/sql/opt_range.cc,operator-precedence,265
linux/drivers/platform/x86/toshiba_acpi.c,omitted-curly-braces,265
mysql-server/sql/item_strfunc.cc,omitted-curly-braces,264
linux/drivers/net/ethernet/qlogic/qla3xxx.c,operator-precedence,264
linux/drivers/net/ethernet/hisilicon/hns3/hns3pf/hclge_main.c,operator-precedence,264
linux/drivers/scsi/ips.c,omitted-curly-braces,263
linux/drivers/block/mtip32xx/mtip32xx.c,operator-precedence,263
linux/drivers/net/ethernet/neterion/s2io.c,omitted-curly-braces,263
linux/drivers/isdn/hisax/l3dss1.c,operator-precedence,263
linux/drivers/net/ethernet/broadcom/cnic.c,omitted-curly-braces,262
linux/drivers/media/dvb-frontends/drxd_hard.c,omitted-curly-braces,262
linux/drivers/scsi/lpfc/lpfc_scsi.c,operator-precedence,262
linux/drivers/net/ethernet/nvidia/forcedeth.c,omitted-curly-braces,261
linux/drivers/clk/sunxi-ng/ccu-sun9i-a80.c,operator-precedence,261
linux/drivers/scsi/sym53c8xx_2/sym_hipd.c,omitted-curly-braces,261
linux/drivers/scsi/ibmvscsi_tgt/ibmvscsi_tgt.c,operator-precedence,260
linux/drivers/usb/host/fotg210-hcd.c,operator-precedence,260
linux/drivers/net/wireless/intel/ipw2x00/ipw2100.c,omitted-curly-braces,260
mysql-server/storage/ndb/test/ndbapi/testDict.cpp,omitted-curly-braces,260
linux/drivers/staging/lustre/lustre/ptlrpc/service.c,operator-precedence,259
linux/drivers/block/skd_main.c,operator-precedence,259
